"","AUTHOR","X","ARTICLE_ID","EXTERNAL_ID","EXTERNAL_AUTHOR_ID","HEADLINE","CONTENT","ARTICLE_URL","MEDIA_PROVIDER","REGION","LANGUAGE","POST_STATUS","PUBLISH_DATE","HARVESTED_DATE","SENTIMENT","VIEW_COUNT","COMMENT_COUNT","UNIQUE_COMMENTERS","ENGAGEMENT","LIKES_AND_VOTES","INBOUND_LINKS","FORUM_THREAD_SIZE","FOLLOWING","FOLLOWERS","UPDATES","POST_TYPE"
"1","CATHYMCMORRIS",81,7.67907e+11,9.92843e+17,17976923,"TWEET FROM: cathymcmorris","This is how #taxreform is helping America’s seniors→ https://t.co/1qWuBntqH7 https://t.co/aVoeFZbnB5","http://twitter.com/17976923/statuses/992842616046735360","TWITTER","United States","English","No","5/5/2018 19:05","5/5/2018 19:05","Neutral",0,0,0,0,0,0,-1,5172,45131,9191,""
"2","CATHYMCMORRIS",9018,7.62104e+11,9.87039e+17,17976923,"TWEET FROM: cathymcmorris","ICYMI: Last night, @HHSGov announced its second round of opioid-focused grants. This will help states like WA combat this growing epidemic and tragedy. My statement: https://t.co/pN28ZasmmZ","http://twitter.com/17976923/statuses/987039376847745024","TWITTER","United States","English","No","4/19/2018 18:45","4/19/2018 18:45","Negative",0,0,0,0,0,0,-1,5166,45063,9049,""
"3","CATHYMCMORRIS",9034,7.61744e+11,9.86673e+17,17976923,"TWEET FROM: cathymcmorris","Because of #taxreform, American workers are getting a pay raise. https://t.co/ykAjaSgGhg","http://twitter.com/17976923/statuses/986673217506029577","TWITTER","United States","English","No","4/18/2018 18:30","4/18/2018 18:30","Neutral",0,0,0,0,0,0,-1,5164,45059,9033,""
"4","CATHYMCMORRIS",5775,7.61368e+11,9.86306e+17,17976923,"TWEET FROM: cathymcmorris","At 4PM ET, @SpeakerRyan, @WaysandMeansGOP Chair @RepKevinBrady, &amp; I will hear directly from American taxpayers about how the #TaxCutsandJobsAct is delivering more jobs, fairer taxes, and bigger paychecks. Follow along→ #TaxTalk.","http://twitter.com/17976923/statuses/986305793321398272","TWITTER","United States","English","No","4/17/2018 18:10","4/17/2018 18:10","Neutral",0,0,0,0,0,0,-1,5163,45032,9017,""
"5","CATHYMCMORRIS",9014,7.62148e+11,9.87087e+17,17976923,"TWEET FROM: cathymcmorris","Great column by my Idaho neighbors @CongMikeSimpson and @Raul_Labrador: Goodbye old federal tax system, hello productivity, wage and job growth #TaxCutsandJobsAct https://t.co/LfSnARckYk","http://twitter.com/17976923/statuses/987086939890204672","TWITTER","United States","English","No","4/19/2018 21:54","4/19/2018 21:54","Positive",0,0,0,0,0,0,-1,5166,45068,9053,""
"6","CATHYMCMORRIS",9017,7.62115e+11,9.87051e+17,17976923,"TWEET FROM: cathymcmorris","I, too, am pleased to see @HHSGov announce its plans to deploy the second round of grant funding to help states combat the opioid epidemic. My colleagues &amp; I on the @HouseCommerce share in the commitment to rescue our communities from the deadly hold of addiction. https://t.co/qG5CXuROub","http://twitter.com/17976923/statuses/987051245407014912","TWITTER","United States","English","No","4/19/2018 19:32","4/19/2018 19:32","Negative",0,0,0,0,0,0,-1,5166,45066,9050,"QUOTE_TWEET"
"7","CATHYMCMORRIS",31,7.68253e+11,9.93179e+17,17976923,"TWEET FROM: cathymcmorris","We doubled the standard deduction in #taxreform so that more of what you earn is tax free. Check out all the ways that the #TaxCutsandJobsAct is putting more money in your pocket on https://t.co/zqQZ3XE1d2. https://t.co/jaKdZs3Vhr","http://twitter.com/17976923/statuses/993179083222597632","TWITTER","United States","English","No","5/6/2018 17:22","5/6/2018 17:22","Positive",0,0,0,0,0,0,-1,5172,45126,9199,""
"8","CATHYMCMORRIS",8289,7.58772e+11,9.83784e+17,17976923,"TWEET FROM: cathymcmorris","Every day we are working on policies that are empowering women. https://t.co/2XBHgHUXHl","http://twitter.com/17976923/statuses/983783926010466306","TWITTER","United States","English","No","4/10/2018 19:09","4/10/2018 19:09","Positive",0,0,0,0,0,0,-1,5168,44930,8958,""
"9","CATHYMCMORRIS",8893,7.67153e+11,9.92108e+17,17976923,"TWEET FROM: cathymcmorris","After years of stagnant wages &amp; a stagnant economy, small business owners have a reason to dream again. #SmallBusinessWeek https://t.co/4XrMZS7mLe","http://twitter.com/17976923/statuses/992108025283465217","TWITTER","United States","English","No","5/3/2018 18:26","5/3/2018 18:26","Negative",0,0,0,0,0,0,-1,5170,45138,9171,""
"10","CATHYMCMORRIS",415,7.67463e+11,9.92411e+17,17976923,"TWEET FROM: cathymcmorris","Because of the @HouseGOP’s pro-growth agenda, the economy is improving. As jobs are created, we need to make sure that people have the skills they need to find the job that’s right for them. https://t.co/F5d8QFjrpG","http://twitter.com/17976923/statuses/992410518601248769","TWITTER","United States","English","No","5/4/2018 14:28","5/4/2018 14:28","Positive",0,0,0,0,0,0,-1,5171,45138,9175,""
"11","CATHYMCMORRIS",211,7.67558e+11,9.92499e+17,17976923,"TWEET FROM: cathymcmorris","My op-ed in @IJRopinion → Facebook has a big trust problem. They have an opportunity to make it right. https://t.co/pYUVqFFroF","http://twitter.com/17976923/statuses/992499102700126208","TWITTER","United States","English","No","5/4/2018 20:20","5/4/2018 20:20","Positive",0,0,0,0,0,0,-1,5171,45139,9181,""
"12","CATHYMCMORRIS",8407,7.58707e+11,9.8373e+17,17976923,"TWEET FROM: cathymcmorris","Thanks to the #TaxCutsandJobsAct, consumer optimism jumped to a 14-year high. Everyday Americans are confident, knowing that the best days of economic prosperity lay ahead.   https://t.co/YbInmREEym","http://twitter.com/17976923/statuses/983730390283227136","TWITTER","United States","English","No","4/10/2018 15:36","4/10/2018 15:36","Positive",0,0,0,0,0,0,-1,5167,44928,8954,"RETWEET"
"13","CATHYMCMORRIS",9024,7.62029e+11,9.86972e+17,17976923,"TWEET FROM: cathymcmorris","Taxpayers should be treated fairly, their disputes should be handled objectively, and their issues should be resolved quickly and affordably. That’s why we’re reforming the IRS.  #TaxpayerFirst https://t.co/DnfKnISxZN","http://twitter.com/17976923/statuses/986972293376172032","TWITTER","United States","English","No","4/19/2018 14:18","4/19/2018 14:18","Positive",0,0,0,0,0,0,-1,5165,45066,9043,"RETWEET"
"14","CATHYMCMORRIS",4209,7.6247e+11,9.87408e+17,17976923,"TWEET FROM: cathymcmorris","Pleased that Chair @ConawayTX11 led the @HouseAgNews to passage of a #FarmBill that keeps America’s farmers and ranchers — like those at home in Eastern Washington — at the top of mind. https://t.co/yWi2qb0bRA","http://twitter.com/17976923/statuses/987407804536377346","TWITTER","United States","English","No","4/20/2018 19:09","4/20/2018 19:09","Positive",0,0,0,0,0,0,-1,5166,45068,9061,""
"15","CATHYMCMORRIS",27,7.68285e+11,9.93212e+17,17976923,"TWEET FROM: cathymcmorris","The #TaxCutsandJobsAct: 🎒 Expands 529 accounts to K-12 education. 🌱 Created Opportunity Zones to fight poverty. ✔️ Lowered tax rates across the board https://t.co/9M9Y0k3gKf","http://twitter.com/17976923/statuses/993212051823775744","TWITTER","United States","English","No","5/6/2018 19:33","5/6/2018 19:33","Negative",0,0,0,0,0,0,-1,5172,45121,9200,""
"16","CATHYMCMORRIS",9134,7.57985e+11,9.8302e+17,17976923,"TWEET FROM: cathymcmorris","April is Autism Awareness Month. Did you know that people with Autism are eligible to open ABLE accounts? In #taxreform, we expanded these accounts to help people with disabilities (like Autism) save more of their own money and find a job that’s right for them. https://t.co/o8poSKnmli","http://twitter.com/17976923/statuses/983019639708860416","TWITTER","United States","English","No","4/8/2018 16:32","4/8/2018 16:32","Positive",0,0,0,0,0,0,-1,5167,44905,8948,""
"17","CATHYMCMORRIS",9097,7.59568e+11,9.84559e+17,17976923,"TWEET FROM: cathymcmorris","We are 5 days away from #TaxDay. As we bid farewell to the old tax code, here’s what you have to look forward to under the #TaxCutsandJobsAct next yr: ✔ Lower rates ✔ A doubled standard deduction ✔ An expanded child tax credit ✔ An easier way to file ✔ Relief from Obamacare","http://twitter.com/17976923/statuses/984559285043646464","TWITTER","United States","English","No","4/12/2018 22:30","4/12/2018 22:30","Positive",0,0,0,0,0,0,-1,5167,44984,8980,""
"18","CATHYMCMORRIS",8471,7.58665e+11,9.83699e+17,17976923,"TWEET FROM: cathymcmorris","More results from the @HouseGOP’s pro-growth agenda: ✔️ “U.S. jobless claims decline to lowest level since January 1973” ✔️“payrolls continuing to exceed expectations” ✔️”unemployment rate near the lowest since late 2000”  https://t.co/uecqSqrwHR","http://twitter.com/17976923/statuses/983698615724994560","TWITTER","United States","English","No","4/10/2018 13:30","4/10/2018 13:30","Negative",0,0,0,0,0,0,-1,5167,44922,8953,""
"19","CATHYMCMORRIS",1242,7.66478e+11,9.91478e+17,17976923,"TWEET FROM: cathymcmorris","What a great story, @HurdOnTheHill. Loving all the optimism we’re seeing from #smallbusinesses thanks to #taxreform. https://t.co/2CA99edo1g","http://twitter.com/17976923/statuses/991478376300011521","TWITTER","United States","English","No","5/2/2018 0:44","5/2/2018 0:44","Positive",0,0,0,0,0,0,-1,5169,45119,9152,"QUOTE_TWEET"
"20","CATHYMCMORRIS",5268,7.6167e+11,9.8661e+17,17976923,"TWEET FROM: cathymcmorris","Yesterday we said goodbye to a tax code that has been nothing short of a thorn in the side of Americans for too many years. Who else is ready for the MORE that is to come with the #TaxCutsandJobsAct. https://t.co/H74rEmrXgS","http://twitter.com/17976923/statuses/986609730935250949","TWITTER","United States","English","No","4/18/2018 14:17","4/18/2018 14:17","Negative",0,0,0,0,0,0,-1,5164,45056,9029,"RETWEET"
"21","CATHYMCMORRIS",3325,7.64112e+11,9.89112e+17,17976923,"TWEET FROM: cathymcmorris","A job means so much more than a paycheck. The dignity of work is what gives us a purpose and empowers us to build a better life. https://t.co/HKMDgFxqHM","http://twitter.com/17976923/statuses/989111786749259776","TWITTER","United States","English","No","4/25/2018 12:00","4/25/2018 12:00","Positive",0,0,0,0,0,0,-1,5166,45112,9096,""
"22","CATHYMCMORRIS",8943,7.6493e+11,9.89901e+17,17976923,"TWEET FROM: cathymcmorris","I’m proud to help get this amendment included to protect the great work being done at WSU’s Center of Excellence for Aviation, Biofuels, and the Environment. @WSU_Cougar_Pres https://t.co/iaq9JJEQlm","http://twitter.com/17976923/statuses/989900824594829313","TWITTER","United States","English","No","4/27/2018 16:15","4/27/2018 16:15","Positive",0,0,0,0,0,0,-1,5167,45126,9122,"QUOTE_TWEET"
